seller_id,item_id,item_name,category,marketplace_price,stock_qty,dq_failure_reason
S100,I1007348,,Home Appliances,140638.05,81,missing_item_name
S100,I105153,,Apparel,113867.02,453,missing_item_name
S100,I11093,U.s. Polo T-shirt,Apparel,79729.27,-13,negative_stock
S100,I118989,Allen Solly Formal Pants,Apparel,91730.76,-13,negative_stock
S100,I126346,,Footwear,25445.4,398,missing_item_name
S100,I133592,Skechers Gowalk,Footwear,-126262.87,27,negative_price
S100,I135577,Adidas Ultraboost 23,Footwear,-57103.37,256,negative_price
S100,I164280,Zara Maxi Dress,Apparel,31457.67,-16,negative_stock
S100,I185880,,Footwear,60155.71,167,missing_item_name
S100,I188231,,Home Appliances,12887.43,176,missing_item_name
S100,I190824,Allen Solly Formal Pants,Apparel,-12709.14,499,negative_price
S100,I196548,Sony Wh-1000xm5 Headphones,Electronics,137803.44,-7,negative_stock
S100,I215145,Levis Denim Jacket,Apparel,72175.51,-1,negative_stock
S100,I22451,,Footwear,131821.95,31,missing_item_name
S100,I224618,Allen Solly Formal Pants,Apparel,27012.81,-20,negative_stock
S100,I246013,,Home Appliances,49259.4,239,missing_item_name
S100,I248643,H&m Cotton Shirt,Apparel,-50748.1,488,negative_price
S100,I252432,,Apparel,26149.66,27,missing_item_name
S100,I271831,,Footwear,96290.5,448,missing_item_name
S100,I276610,Dyson Vacuum Cleaner,Home Appliances,45743.99,-8,negative_stock
S100,I284230,,Home Appliances,96852.36,18,missing_item_name
S100,I290808,,Footwear,22024.24,499,missing_item_name
S100,I305450,,Footwear,64453.69,457,missing_item_name
S100,I311231,U.s. Polo T-shirt,Apparel,148712.7,-6,negative_stock
S100,I313965,,Home Appliances,35767.26,76,missing_item_name
S100,I345781,Apple Iphone 15 Pro,Electronics,20672.35,-19,negative_stock
S100,I349635,H&m Cotton Shirt,Apparel,91906.31,-9,negative_stock
S100,I352646,,Electronics,38968.41,175,missing_item_name
S100,I358373,Zara Maxi Dress,Apparel,75908.36,-9,negative_stock
S100,I372445,Puma Running Shoes,Footwear,-26488.31,419,negative_price
S100,I377407,Nike Air Zoom Pegasus,Footwear,-67480.44,343,negative_price
S100,I383392,Lg 7kg Washing Machine,Home Appliances,75264.29,-1,negative_stock
S100,I38717,Dell Xps 13 Laptop,Electronics,-24679.95,181,negative_price
S100,I391347,Skechers Gowalk,Footwear,91878.99,-18,negative_stock
S100,I392726,,Footwear,148131.2,115,missing_item_name
S100,I398949,Boat Smartwatch,Electronics,43106.26,-4,negative_stock
S100,I399829,,Apparel,117209.9,136,missing_item_name
S100,I411499,Sony Wh-1000xm5 Headphones,Electronics,-54835.11,174,negative_price
S100,I43186,Puma Running Shoes,Footwear,126620.57,-7,negative_stock
S100,I473864,Reebok Nano X4,Footwear,-21253.3,-14,"negative_price,negative_stock"
S100,I490108,,Electronics,62754.69,287,missing_item_name
S100,I536932,Apple Iphone 15 Pro,Electronics,-105559.71,78,negative_price
S100,I543946,,Electronics,87842.95,135,missing_item_name
S100,I551216,,Electronics,69814.46,276,missing_item_name
S100,I573675,Sony Wh-1000xm5 Headphones,Electronics,-86480.36,500,negative_price
S100,I587289,,Electronics,72925.51,353,missing_item_name
S100,I59186,,Footwear,69213.48,362,missing_item_name
S100,I602172,Samsung Galaxy S24 Ultra,Electronics,-102113.12,399,negative_price
S100,I602319,,Home Appliances,60562.3,24,missing_item_name
S100,I618706,Dyson Vacuum Cleaner,Home Appliances,-110652.73,445,negative_price
S100,I624238,Sony Wh-1000xm5 Headphones,Electronics,6995.6,-14,negative_stock
S100,I626893,,Footwear,61040.33,275,missing_item_name
S100,I628150,Adidas Ultraboost 23,Footwear,20912.32,-15,negative_stock
S100,I649192,Apple Iphone 15 Pro,Electronics,-142046.35,85,negative_price
S100,I653682,Samsung 55” Smart Tv,Home Appliances,86526.34,-15,negative_stock
S100,I654760,Philips Air Fryer,Home Appliances,-19420.43,-8,"negative_price,negative_stock"
S100,I66100,Sony Wh-1000xm5 Headphones,Electronics,-76610.68,101,negative_price
S100,I691988,,Electronics,139298.28,495,missing_item_name
S100,I707897,Skechers Gowalk,Footwear,19356.84,-3,negative_stock
S100,I731338,,Apparel,37635.66,311,missing_item_name
S100,I73458,Apple Iphone 15 Pro,Electronics,110025.92,-8,negative_stock
S100,I739904,,Apparel,128544.57,224,missing_item_name
S100,I745190,,Electronics,124149.46,454,missing_item_name
S100,I752628,,Footwear,124719.28,264,missing_item_name
S100,I762436,Dyson Vacuum Cleaner,Home Appliances,66912.46,-1,negative_stock
