seller_id,item_id,item_name,category,marketplace_price,stock_qty,dq_failure_reason
S100,,Lg 7kg Washing Machine,Home Appliances,28027.13,87,missing_item_id
S100,I127587,,Home Appliances,35347.2,283,missing_item_name
S100,I13823,Boat Smartwatch,Electronics,46634.74,-6,negative_stock
S100,I140046,Reebok Nano X4,Footwear,-61178.11,232,negative_price
S100,I140676,,Home Appliances,1589.53,437,missing_item_name
S100,I164352,H&m Cotton Shirt,Apparel,148180.94,-4,negative_stock
S100,I169593,Dyson Vacuum Cleaner,Home Appliances,11950.35,-16,negative_stock
S100,I180110,Levis Denim Jacket,Apparel,-20749.88,331,negative_price
S100,I180566,Nike Air Zoom Pegasus,Footwear,23670.91,-11,negative_stock
S100,I189451,,Electronics,138565.41,75,missing_item_name
S100,I191243,,Electronics,134744.43,180,missing_item_name
S100,I191484,Adidas Ultraboost 23,Footwear,-123329.44,179,negative_price
S100,I197948,Samsung 55” Smart Tv,Home Appliances,-127724.15,399,negative_price
S100,I201914,Philips Air Fryer,Home Appliances,52707.47,-14,negative_stock
S100,I202636,Philips Air Fryer,Home Appliances,-55054.62,294,negative_price
S100,I207952,Samsung 55” Smart Tv,Home Appliances,4959.19,-2,negative_stock
S100,I213255,Nike Air Zoom Pegasus,Footwear,-4770.31,407,negative_price
S100,I223084,,Home Appliances,24571.91,340,missing_item_name
S100,I23648,Skechers Gowalk,Footwear,-46974.93,82,negative_price
S100,I260503,,Apparel,69510.66,297,missing_item_name
S100,I269305,H&m Cotton Shirt,Apparel,-30817.38,43,negative_price
S100,I269944,Philips Air Fryer,Home Appliances,22570.97,-19,negative_stock
S100,I285319,,Electronics,71004.55,94,missing_item_name
S100,I293682,Puma Running Shoes,Footwear,130800.62,-20,negative_stock
S100,I310610,,Home Appliances,103700.45,277,missing_item_name
S100,I315943,Zara Maxi Dress,Apparel,134815.99,-8,negative_stock
S100,I321401,Philips Air Fryer,Home Appliances,46390.37,-5,negative_stock
S100,I332591,Reebok Nano X4,Footwear,-102528.54,272,negative_price
S100,I33307,,Home Appliances,7672.63,246,missing_item_name
S100,I333347,,Home Appliances,109423.23,290,missing_item_name
S100,I343442,,Footwear,19976.12,450,missing_item_name
S100,I344831,Bajaj Mixer Grinder,Home Appliances,-134419.71,308,negative_price
S100,I349781,H&m Cotton Shirt,Apparel,104603.59,-2,negative_stock
S100,I350599,Zara Maxi Dress,Apparel,144004.04,-19,negative_stock
S100,I351307,,Home Appliances,105389.98,191,missing_item_name
S100,I362644,,Home Appliances,62294.7,343,missing_item_name
S100,I365631,,Footwear,19413.46,418,missing_item_name
S100,I376155,Lg 7kg Washing Machine,Home Appliances,2619.73,-8,negative_stock
S100,I383617,Bajaj Mixer Grinder,Home Appliances,140575.4,-4,negative_stock
S100,I394219,U.s. Polo T-shirt,Apparel,116299.93,-17,negative_stock
S100,I402135,Philips Air Fryer,Home Appliances,-116695.28,130,negative_price
S100,I461887,Zara Maxi Dress,Apparel,62182.64,-19,negative_stock
S100,I490923,Sony Wh-1000xm5 Headphones,Electronics,-140600.85,281,negative_price
S100,I498805,Lg 7kg Washing Machine,Home Appliances,86724.11,-16,negative_stock
S100,I518863,,Footwear,-67303.99,190,"missing_item_name,negative_price"
S100,I520286,H&m Cotton Shirt,Apparel,138096.85,-4,negative_stock
S100,I527858,Allen Solly Formal Pants,Apparel,23585.18,-15,negative_stock
S100,I557078,Puma Running Shoes,Footwear,-50432.42,114,negative_price
S100,I567495,,Apparel,13744.29,11,missing_item_name
S100,I58115,Puma Running Shoes,Footwear,12784.18,-12,negative_stock
S100,I581792,Dell Xps 13 Laptop,Electronics,-16496.53,385,negative_price
S100,I589177,,Footwear,144427.9,450,missing_item_name
