seller_id,item_id,item_name,category,market_price,expected_units_sold,expected_revenue
S103,I297440,,,,0.0,
S114,I297440,,,,0.0,
S121,I297440,,,,0.0,
S124,I297440,,,,0.0,
S132,I297440,,,,0.0,
S146,I297440,,,,0.0,
S149,I297440,,,,0.0,
S100,I297440,,,,0.0,
S126,I297440,,,,0.0,
S135,I297440,,,,0.0,
S106,I297440,,,,0.0,
S134,I297440,,,,0.0,
S137,I297440,,,,0.0,
S140,I297440,,,,0.0,
S117,I297440,,,,0.0,
S118,I297440,,,,0.0,
S131,I297440,,,,0.0,
S139,I297440,,,,0.0,
S101,I297440,,,,0.0,
S102,I297440,,,,0.0,
S122,I297440,,,,0.0,
S145,I297440,,,,0.0,
S108,I297440,,,,0.0,
S113,I297440,,,,0.0,
S119,I297440,,,,0.0,
S123,I297440,,,,0.0,
S128,I297440,,,,0.0,
S130,I297440,,,,0.0,
S104,I297440,,,,0.0,
S107,I297440,,,,0.0,
S116,I297440,,,,0.0,
S136,I297440,,,,0.0,
S142,I297440,,,,0.0,
S143,I297440,,,,0.0,
S147,I297440,,,,0.0,
S105,I297440,,,,0.0,
S115,I297440,,,,0.0,
S125,I297440,,,,0.0,
S127,I297440,,,,0.0,
S129,I297440,,,,0.0,
S138,I297440,,,,0.0,
S141,I297440,,,,0.0,
S148,I297440,,,,0.0,
S109,I297440,,,,0.0,
S110,I297440,,,,0.0,
S120,I297440,,,,0.0,
S144,I297440,,,,0.0,
S111,I297440,,,,0.0,
S112,I297440,,,,0.0,
S133,I297440,,,,0.0,
S150,I297440,,,,0.0,
S120,I30625,,,103917.63,3983.0,4.1390392029E8
S134,I30625,,,103917.63,3983.0,4.1390392029E8
S141,I30625,,,103917.63,3983.0,4.1390392029E8
S145,I30625,,,103917.63,3983.0,4.1390392029E8
S146,I30625,,,103917.63,3983.0,4.1390392029E8
S149,I30625,,,103917.63,3983.0,4.1390392029E8
S102,I30625,,,103917.63,3983.0,4.1390392029E8
S117,I30625,,,103917.63,3983.0,4.1390392029E8
S125,I30625,,,103917.63,3983.0,4.1390392029E8
S144,I30625,,,103917.63,3983.0,4.1390392029E8
S103,I30625,,,103917.63,3983.0,4.1390392029E8
S105,I30625,,,103917.63,3983.0,4.1390392029E8
S107,I30625,,,103917.63,3983.0,4.1390392029E8
S109,I30625,,,103917.63,3983.0,4.1390392029E8
S115,I30625,,,103917.63,3983.0,4.1390392029E8
S123,I30625,,,103917.63,3983.0,4.1390392029E8
S129,I30625,,,103917.63,3983.0,4.1390392029E8
S147,I30625,,,103917.63,3983.0,4.1390392029E8
S126,I30625,,,103917.63,3983.0,4.1390392029E8
S135,I30625,,,103917.63,3983.0,4.1390392029E8
S142,I30625,,,103917.63,3983.0,4.1390392029E8
S111,I30625,,,103917.63,3983.0,4.1390392029E8
S116,I30625,,,103917.63,3983.0,4.1390392029E8
S119,I30625,,,103917.63,3983.0,4.1390392029E8
S150,I30625,,,103917.63,3983.0,4.1390392029E8
S106,I30625,,,103917.63,3983.0,4.1390392029E8
S108,I30625,,,103917.63,3983.0,4.1390392029E8
S110,I30625,,,103917.63,3983.0,4.1390392029E8
S101,I30625,,,103917.63,3983.0,4.1390392029E8
S130,I30625,,,103917.63,3983.0,4.1390392029E8
S140,I30625,,,103917.63,3983.0,4.1390392029E8
S104,I30625,,,103917.63,3983.0,4.1390392029E8
S112,I30625,,,103917.63,3983.0,4.1390392029E8
S114,I30625,,,103917.63,3983.0,4.1390392029E8
S127,I30625,,,103917.63,3983.0,4.1390392029E8
S132,I30625,,,103917.63,3983.0,4.1390392029E8
S137,I30625,,,103917.63,3983.0,4.1390392029E8
S128,I30625,,,103917.63,3983.0,4.1390392029E8
S131,I30625,,,103917.63,3983.0,4.1390392029E8
S133,I30625,,,103917.63,3983.0,4.1390392029E8
S139,I30625,,,103917.63,3983.0,4.1390392029E8
S148,I30625,,,103917.63,3983.0,4.1390392029E8
S100,I30625,,,103917.63,3983.0,4.1390392029E8
S113,I30625,,,103917.63,3983.0,4.1390392029E8
S118,I30625,,,103917.63,3983.0,4.1390392029E8
S121,I30625,,,103917.63,3983.0,4.1390392029E8
S122,I30625,,,103917.63,3983.0,4.1390392029E8
S124,I30625,,,103917.63,3983.0,4.1390392029E8
S136,I30625,,,103917.63,3983.0,4.1390392029E8
S138,I30625,,,103917.63,3983.0,4.1390392029E8
S143,I30625,,,103917.63,3983.0,4.1390392029E8
S105,I452579,,,,0.0,
S115,I452579,,,,0.0,
S144,I452579,,,,0.0,
S147,I452579,,,,0.0,
S101,I452579,,,,0.0,
S106,I452579,,,,0.0,
S112,I452579,,,,0.0,
S120,I452579,,,,0.0,
S128,I452579,,,,0.0,
S133,I452579,,,,0.0,
S117,I452579,,,,0.0,
S134,I452579,,,,0.0,
S137,I452579,,,,0.0,
S138,I452579,,,,0.0,
S149,I452579,,,,0.0,
S104,I452579,,,,0.0,
S108,I452579,,,,0.0,
S109,I452579,,,,0.0,
S113,I452579,,,,0.0,
S127,I452579,,,,0.0,
S100,I452579,,,,0.0,
S111,I452579,,,,0.0,
S114,I452579,,,,0.0,
S116,I452579,,,,0.0,
S122,I452579,,,,0.0,
S124,I452579,,,,0.0,
S139,I452579,,,,0.0,
S143,I452579,,,,0.0,
S107,I452579,,,,0.0,
S135,I452579,,,,0.0,
S136,I452579,,,,0.0,
S142,I452579,,,,0.0,
S118,I452579,,,,0.0,
S126,I452579,,,,0.0,
S131,I452579,,,,0.0,
S140,I452579,,,,0.0,
S145,I452579,,,,0.0,
S103,I452579,,,,0.0,
S110,I452579,,,,0.0,
S123,I452579,,,,0.0,
S130,I452579,,,,0.0,
S148,I452579,,,,0.0,
S150,I452579,,,,0.0,
S102,I452579,,,,0.0,
S129,I452579,,,,0.0,
S119,I452579,,,,0.0,
S121,I452579,,,,0.0,
S125,I452579,,,,0.0,
S132,I452579,,,,0.0,
S141,I452579,,,,0.0,
S146,I452579,,,,0.0,
S111,I86442,,,89904.65,4804.0,4.3190193859999996E8
S116,I86442,,,89904.65,4804.0,4.3190193859999996E8
S124,I86442,,,89904.65,4804.0,4.3190193859999996E8
S131,I86442,,,89904.65,4804.0,4.3190193859999996E8
S137,I86442,,,89904.65,4804.0,4.3190193859999996E8
S139,I86442,,,89904.65,4804.0,4.3190193859999996E8
S143,I86442,,,89904.65,4804.0,4.3190193859999996E8
S100,I86442,,,89904.65,4804.0,4.3190193859999996E8
S107,I86442,,,89904.65,4804.0,4.3190193859999996E8
S112,I86442,,,89904.65,4804.0,4.3190193859999996E8
S122,I86442,,,89904.65,4804.0,4.3190193859999996E8
S126,I86442,,,89904.65,4804.0,4.3190193859999996E8
S135,I86442,,,89904.65,4804.0,4.3190193859999996E8
S106,I86442,,,89904.65,4804.0,4.3190193859999996E8
S108,I86442,,,89904.65,4804.0,4.3190193859999996E8
S113,I86442,,,89904.65,4804.0,4.3190193859999996E8
S128,I86442,,,89904.65,4804.0,4.3190193859999996E8
S102,I86442,,,89904.65,4804.0,4.3190193859999996E8
S127,I86442,,,89904.65,4804.0,4.3190193859999996E8
S130,I86442,,,89904.65,4804.0,4.3190193859999996E8
S148,I86442,,,89904.65,4804.0,4.3190193859999996E8
S117,I86442,,,89904.65,4804.0,4.3190193859999996E8
S118,I86442,,,89904.65,4804.0,4.3190193859999996E8
S125,I86442,,,89904.65,4804.0,4.3190193859999996E8
S147,I86442,,,89904.65,4804.0,4.3190193859999996E8
S110,I86442,,,89904.65,4804.0,4.3190193859999996E8
S140,I86442,,,89904.65,4804.0,4.3190193859999996E8
S104,I86442,,,89904.65,4804.0,4.3190193859999996E8
S115,I86442,,,89904.65,4804.0,4.3190193859999996E8
S123,I86442,,,89904.65,4804.0,4.3190193859999996E8
S133,I86442,,,89904.65,4804.0,4.3190193859999996E8
S141,I86442,,,89904.65,4804.0,4.3190193859999996E8
S144,I86442,,,89904.65,4804.0,4.3190193859999996E8
S146,I86442,,,89904.65,4804.0,4.3190193859999996E8
S149,I86442,,,89904.65,4804.0,4.3190193859999996E8
S103,I86442,,,89904.65,4804.0,4.3190193859999996E8
S109,I86442,,,89904.65,4804.0,4.3190193859999996E8
S114,I86442,,,89904.65,4804.0,4.3190193859999996E8
S121,I86442,,,89904.65,4804.0,4.3190193859999996E8
S134,I86442,,,89904.65,4804.0,4.3190193859999996E8
S105,I86442,,,89904.65,4804.0,4.3190193859999996E8
S119,I86442,,,89904.65,4804.0,4.3190193859999996E8
S142,I86442,,,89904.65,4804.0,4.3190193859999996E8
S145,I86442,,,89904.65,4804.0,4.3190193859999996E8
S101,I86442,,,89904.65,4804.0,4.3190193859999996E8
S120,I86442,,,89904.65,4804.0,4.3190193859999996E8
S129,I86442,,,89904.65,4804.0,4.3190193859999996E8
S132,I86442,,,89904.65,4804.0,4.3190193859999996E8
S136,I86442,,,89904.65,4804.0,4.3190193859999996E8
S138,I86442,,,89904.65,4804.0,4.3190193859999996E8
S150,I86442,,,89904.65,4804.0,4.3190193859999996E8
S115,I868735,,,42444.48,3997.0,1.6965058656E8
S116,I868735,,,42444.48,3997.0,1.6965058656E8
S138,I868735,,,42444.48,3997.0,1.6965058656E8
S140,I868735,,,42444.48,3997.0,1.6965058656E8
S149,I868735,,,42444.48,3997.0,1.6965058656E8
S102,I868735,,,42444.48,3997.0,1.6965058656E8
S109,I868735,,,42444.48,3997.0,1.6965058656E8
S118,I868735,,,42444.48,3997.0,1.6965058656E8
S125,I868735,,,42444.48,3997.0,1.6965058656E8
S131,I868735,,,42444.48,3997.0,1.6965058656E8
S133,I868735,,,42444.48,3997.0,1.6965058656E8
S100,I868735,,,42444.48,3997.0,1.6965058656E8
S105,I868735,,,42444.48,3997.0,1.6965058656E8
S114,I868735,,,42444.48,3997.0,1.6965058656E8
S132,I868735,,,42444.48,3997.0,1.6965058656E8
S135,I868735,,,42444.48,3997.0,1.6965058656E8
S106,I868735,,,42444.48,3997.0,1.6965058656E8
S134,I868735,,,42444.48,3997.0,1.6965058656E8
S139,I868735,,,42444.48,3997.0,1.6965058656E8
S107,I868735,,,42444.48,3997.0,1.6965058656E8
S128,I868735,,,42444.48,3997.0,1.6965058656E8
S144,I868735,,,42444.48,3997.0,1.6965058656E8
S146,I868735,,,42444.48,3997.0,1.6965058656E8
S148,I868735,,,42444.48,3997.0,1.6965058656E8
S110,I868735,,,42444.48,3997.0,1.6965058656E8
S112,I868735,,,42444.48,3997.0,1.6965058656E8
S141,I868735,,,42444.48,3997.0,1.6965058656E8
S142,I868735,,,42444.48,3997.0,1.6965058656E8
S143,I868735,,,42444.48,3997.0,1.6965058656E8
S147,I868735,,,42444.48,3997.0,1.6965058656E8
S103,I868735,,,42444.48,3997.0,1.6965058656E8
S104,I868735,,,42444.48,3997.0,1.6965058656E8
S119,I868735,,,42444.48,3997.0,1.6965058656E8
S136,I868735,,,42444.48,3997.0,1.6965058656E8
S137,I868735,,,42444.48,3997.0,1.6965058656E8
S113,I868735,,,42444.48,3997.0,1.6965058656E8
S117,I868735,,,42444.48,3997.0,1.6965058656E8
S120,I868735,,,42444.48,3997.0,1.6965058656E8
S124,I868735,,,42444.48,3997.0,1.6965058656E8
S126,I868735,,,42444.48,3997.0,1.6965058656E8
S129,I868735,,,42444.48,3997.0,1.6965058656E8
S145,I868735,,,42444.48,3997.0,1.6965058656E8
S101,I868735,,,42444.48,3997.0,1.6965058656E8
S111,I868735,,,42444.48,3997.0,1.6965058656E8
S121,I868735,,,42444.48,3997.0,1.6965058656E8
S122,I868735,,,42444.48,3997.0,1.6965058656E8
S130,I868735,,,42444.48,3997.0,1.6965058656E8
S108,I868735,,,42444.48,3997.0,1.6965058656E8
S123,I868735,,,42444.48,3997.0,1.6965058656E8
S127,I868735,,,42444.48,3997.0,1.6965058656E8
S150,I868735,,,42444.48,3997.0,1.6965058656E8
