seller_id,item_id,item_name,category,market_price,expected_units_sold,expected_revenue
S100,I190921,Zara Maxi Dress,Apparel,92633.86,1445.0,1.338559277E8
S118,I190921,Zara Maxi Dress,Apparel,92633.86,1445.0,1.338559277E8
S126,I190921,Zara Maxi Dress,Apparel,92633.86,1445.0,1.338559277E8
S137,I190921,Zara Maxi Dress,Apparel,92633.86,1445.0,1.338559277E8
S111,I190921,Zara Maxi Dress,Apparel,92633.86,1445.0,1.338559277E8
S115,I190921,Zara Maxi Dress,Apparel,92633.86,1445.0,1.338559277E8
S131,I190921,Zara Maxi Dress,Apparel,92633.86,1445.0,1.338559277E8
S142,I190921,Zara Maxi Dress,Apparel,92633.86,1445.0,1.338559277E8
S146,I190921,Zara Maxi Dress,Apparel,92633.86,1445.0,1.338559277E8
S117,I190921,Zara Maxi Dress,Apparel,92633.86,1445.0,1.338559277E8
S122,I190921,Zara Maxi Dress,Apparel,92633.86,1445.0,1.338559277E8
S124,I190921,Zara Maxi Dress,Apparel,92633.86,1445.0,1.338559277E8
S140,I190921,Zara Maxi Dress,Apparel,92633.86,1445.0,1.338559277E8
S143,I190921,Zara Maxi Dress,Apparel,92633.86,1445.0,1.338559277E8
S147,I190921,Zara Maxi Dress,Apparel,92633.86,1445.0,1.338559277E8
S123,I190921,Zara Maxi Dress,Apparel,92633.86,1445.0,1.338559277E8
S128,I190921,Zara Maxi Dress,Apparel,92633.86,1445.0,1.338559277E8
S145,I190921,Zara Maxi Dress,Apparel,92633.86,1445.0,1.338559277E8
S148,I190921,Zara Maxi Dress,Apparel,92633.86,1445.0,1.338559277E8
S104,I190921,Zara Maxi Dress,Apparel,92633.86,1445.0,1.338559277E8
S112,I190921,Zara Maxi Dress,Apparel,92633.86,1445.0,1.338559277E8
S130,I190921,Zara Maxi Dress,Apparel,92633.86,1445.0,1.338559277E8
S135,I190921,Zara Maxi Dress,Apparel,92633.86,1445.0,1.338559277E8
S139,I190921,Zara Maxi Dress,Apparel,92633.86,1445.0,1.338559277E8
