seller_id,item_id,units_sold,revenue,marketplace_price,sale_date,dq_failure_reason
C229,I768326,1219,6.752521509E7,77211.03,,missing_sale_date
C242,I768347,656,6.10300762E7,82204.09,,missing_sale_date
C214,I768348,2535,6.65342393E7,14309.49,,missing_sale_date
C205,I768360,2515,3.3646852649E8,64975.55,,missing_sale_date
C209,I768363,2613,8.145457168E7,119794.03,,missing_sale_date
C201,I768365,326,4.833409533E7,665.24,,missing_sale_date
,I768387,2014,1.6774106802E8,90641.12,2025-09-08,missing_seller_id
C244,I768411,0,7.502225399E7,24205.76,,missing_sale_date
,I768425,1212,4.792379516E7,7259.02,2025-09-15,missing_seller_id
C219,I768432,195,1.096517032E7,109076.86,,missing_sale_date
C216,I768434,1499,9.409589628E7,67852.46,,missing_sale_date
,I768448,1268,1.5320295335E8,77877.86,2025-10-20,missing_seller_id
C234,I768483,2518,1.073069231E7,-102992.08,2025-09-21,price_negative
C207,I768484,1228,1.3952422213E8,13884.13,,missing_sale_date
,I768487,238,3.149150444E7,16040.72,2025-10-13,missing_seller_id
,I768503,433,6.192906133E7,82035.61,2025-09-23,missing_seller_id
,I768509,701,2.429354535E7,89952.83,2025-10-15,missing_seller_id
C201,I768514,2429,3.309940985E7,-75613.08,2025-10-12,price_negative
,I768539,238,2.309859002E7,24318.2,2025-10-02,missing_seller_id
,I768545,2877,1.451942748E7,37744.13,2025-09-09,missing_seller_id
C225,I768567,1265,1.2884064644E8,-96543.11,2025-10-20,price_negative
,I768573,2896,2.3054792664E8,104729.44,2025-10-16,missing_seller_id
C243,I768574,459,5.755406639E7,-21922.23,2025-10-04,price_negative
C217,I768633,487,2.556506078E7,-49463.55,2025-10-27,price_negative
,I768662,807,6.845088558E7,121703.22,2025-10-25,missing_seller_id
,I768665,1271,9.044100781E7,132656.04,2025-09-21,missing_seller_id
,I768675,1574,1.233123916E8,73652.32,2025-10-19,missing_seller_id
,I768683,1769,9.950008883E7,110508.52,2025-09-02,missing_seller_id
C220,I768699,1672,1.5998522684E8,82478.19,,missing_sale_date
C222,I768774,1934,1.8387448535E8,57585.23,,missing_sale_date
C209,I768792,1053,1.2856874966E8,-15126.41,2025-10-20,price_negative
C228,I768801,0,1.116567649E7,827.24,,missing_sale_date
C207,I768856,282,2907799.71,-89947.17,2025-09-02,price_negative
C206,I768860,347,4.387897467E7,-142114.24,2025-09-06,price_negative
C222,I768872,1009,1.675183828E7,-52856.31,2025-09-11,price_negative
,I768882,798,7.416247459E7,73347.46,2025-10-12,missing_seller_id
C244,I768894,2558,1.4387275913E8,-30030.49,2025-09-13,price_negative
C249,I768907,1706,1.8665435681E8,46361.09,,missing_sale_date
,I768909,1657,2.177166301E8,48751.37,2025-10-14,missing_seller_id
C232,I768979,2728,2.7355532145E8,122549.98,,missing_sale_date
,I769021,2917,4.0421567503E8,19088.89,2025-10-07,missing_seller_id
C233,I769027,997,1.3349557946E8,7594.95,,missing_sale_date
C212,I769078,194,6199144.69,56918.53,,missing_sale_date
,I769080,634,7.937574433E7,-50182.75,2025-09-26,"missing_seller_id,price_negative"
C222,I769100,1822,1.1947239376E8,66686.08,,missing_sale_date
C249,I769124,684,2.942631014E7,24825.62,,missing_sale_date
C226,I769157,1466,1.5405711136E8,-27475.09,2025-10-14,price_negative
C241,I769250,0,1.6894296198E8,100510.35,,missing_sale_date
C216,I769256,704,6.304393688E7,133688.61,,missing_sale_date
C209,I769258,993,1.2843549787E8,-53839.29,2025-09-13,price_negative
C233,I769293,2716,2.0760904297E8,-98224.93,2025-10-18,price_negative
,I769307,1995,2.2286076499E8,112546.22,2025-09-24,missing_seller_id
C225,I769320,1785,1.92993034E7,2221.77,,missing_sale_date
,I769364,2385,3.0241360246E8,27095.13,2025-09-27,missing_seller_id
C211,I769393,370,3.117767386E7,1141.74,,missing_sale_date
,I769397,1366,4.211227279E7,138471.1,2025-09-10,missing_seller_id
C210,I769399,768,6.28643426E7,-52600.86,2025-09-04,price_negative
C201,I769433,2415,2.9945521632E8,148387.47,,missing_sale_date
C214,I769455,2275,1.3075672243E8,102912.59,,missing_sale_date
C204,I769468,937,0.0,20439.78,,missing_sale_date
C206,I769495,1350,2.785554496E7,3668.53,,missing_sale_date
C237,I769511,820,0.0,-23147.03,2025-09-27,price_negative
,I769550,911,3.418773629E7,17957.33,2025-09-19,missing_seller_id
C223,I769551,2621,1.857421376E8,-79561.16,2025-09-24,price_negative
C211,I769558,2225,1.2749575231E8,24776.01,,missing_sale_date
,I769559,533,7.073902679E7,125397.25,2025-09-25,missing_seller_id
,I769582,2246,2.0840289947E8,148958.77,2025-10-21,missing_seller_id
C231,I769682,2892,1.5034375442E8,-32390.9,2025-10-09,price_negative
,I769689,1751,2.2192751935E8,143435.29,2025-10-25,missing_seller_id
C235,I769707,1066,1.3609480645E8,96050.61,,missing_sale_date
C208,I769733,2607,5.262045994E7,38109.49,,missing_sale_date
,I769770,0,1.7620135591E8,72592.82,2025-09-23,missing_seller_id
C237,I769788,214,2.920595141E7,10991.39,,missing_sale_date
C246,I769805,792,1.1128846156E8,-89458.16,2025-09-24,price_negative
C249,I769810,904,6.245161894E7,44716.49,,missing_sale_date
,I769842,914,4.317440738E7,25942.32,2025-10-04,missing_seller_id
C213,I769845,2179,1.938197086E7,-36643.72,2025-09-28,price_negative
,I769846,1094,1.0943835507E8,92799.24,2025-10-31,missing_seller_id
C219,I769862,597,7.009349583E7,-95309.57,2025-10-28,price_negative
C249,I769873,1723,5.788495151E7,-116428.08,2025-10-23,price_negative
C219,I769875,2544,1.3485406179E8,-5935.54,2025-10-24,price_negative
C201,I769938,966,8094485.39,97737.51,,missing_sale_date
,I769946,428,7057441.2,19844.62,2025-09-19,missing_seller_id
C245,I769956,1875,2.138602661E7,-25576.72,2025-10-20,price_negative
C242,I769961,2403,1.6770280776E8,-110583.02,2025-10-11,price_negative
C210,I769963,1380,7.052283772E7,70390.33,,missing_sale_date
C207,I769972,1940,8.483283818E7,140656.07,,missing_sale_date
C233,I769991,1075,1.3689683696E8,137643.22,,missing_sale_date
,I770010,1511,9.3340265E7,85529.43,2025-09-01,missing_seller_id
,I770052,1739,1.7198683119E8,15474.37,2025-10-27,missing_seller_id
,I770059,2878,4.2665930599E8,149370.16,2025-09-23,missing_seller_id
C214,I770090,1638,1.657269845E7,-104402.6,2025-09-06,price_negative
,I770092,674,6600745.87,32424.6,2025-10-14,missing_seller_id
,I770109,1517,1.118098797E7,110713.93,2025-10-24,missing_seller_id
,I770163,2882,1.2384112495E8,116862.33,2025-09-23,missing_seller_id
,I770164,2906,1.2030040545E8,138972.8,2025-09-22,missing_seller_id
,I770231,645,1.92293265E7,43242.1,2025-10-01,missing_seller_id
,I770242,1730,1.3241741591E8,97550.65,2025-09-09,missing_seller_id
C215,I770253,2804,1.584456174E8,139990.48,,missing_sale_date
C214,I770254,2305,4.622725887E7,131771.34,,missing_sale_date
,I770262,591,1.351458256E7,-110623.13,2025-09-15,"missing_seller_id,price_negative"
,I770265,1044,1.4594215721E8,25698.84,2025-10-07,missing_seller_id
C248,I770266,2001,2.336230691E8,-124653.63,2025-09-30,price_negative
C245,I770315,196,1.432530434E7,3289.18,,missing_sale_date
,I770319,1752,1.4272804072E8,138916.18,2025-09-18,missing_seller_id
C201,I770334,2601,8.683067096E7,122262.12,,missing_sale_date
C214,I770343,2351,2.1281671019E8,-33281.96,2025-10-04,price_negative
C249,I770352,1509,1.5013706169E8,-33986.08,2025-10-03,price_negative
C217,I770400,2296,2.2229095739E8,40015.19,,missing_sale_date
C249,I770425,1258,1.8559689481E8,-12111.94,2025-10-15,price_negative
,I770445,2705,1.4261690897E8,56689.55,2025-09-08,missing_seller_id
