seller_id,item_id,units_sold,revenue,marketplace_price,sale_date,dq_failure_reason
C249,I10003,1526,5.919794494E7,67341.84,,missing_sale_date
C247,I10021,2283,2.0615237639E8,54896.24,,missing_sale_date
C204,I10037,2705,1.2436691537E8,130852.69,,missing_sale_date
,I10042,1427,3.590123079E7,90940.05,2025-09-14,missing_seller_id
C242,I10055,1477,8.142809734E7,-46189.81,2025-09-13,price_negative
,I10090,2930,3.5701476434E8,32765.3,2025-10-07,missing_seller_id
C232,I10094,1515,4.656265999E7,-72680.09,2025-09-10,price_negative
,I10096,128,1.255778179E7,129039.41,2025-09-24,missing_seller_id
C235,I10105,1079,1.589747243E8,-81686.37,2025-09-13,price_negative
C219,I10109,2721,3.9343072901E8,-96346.56,2025-10-18,price_negative
,I10115,134,1.721236135E7,27740.32,2025-09-09,missing_seller_id
C243,I10122,792,6.879674193E7,-3137.15,2025-09-25,price_negative
C248,I10125,2173,2.1137735818E8,-85650.77,2025-09-04,price_negative
C212,I10163,1059,1.3981553408E8,23565.19,,missing_sale_date
C247,I10176,1655,5.000570476E7,-73523.6,2025-10-03,price_negative
,I10179,1108,1.2883810226E8,78755.76,2025-10-04,missing_seller_id
,I10203,1466,5.299106895E7,104767.57,2025-10-01,missing_seller_id
,I10208,2345,2.4768882568E8,41889.56,2025-09-01,missing_seller_id
,I10212,1904,2.5132249373E8,55970.32,2025-09-29,missing_seller_id
,I10218,1528,6.082680576E7,93681.33,2025-09-18,missing_seller_id
,I10268,1114,8.266829851E7,136299.37,2025-09-25,missing_seller_id
,I10288,2295,3.3308677949E8,4221.58,2025-10-29,missing_seller_id
,I10291,675,9.560358807E7,31428.93,2025-10-14,missing_seller_id
C230,I10306,2774,6.366001558E7,-49997.62,2025-10-04,price_negative
,I10309,2142,3.0526683043E8,15852.64,2025-10-28,missing_seller_id
,I10313,1880,8.028135648E7,30481.47,2025-09-10,missing_seller_id
C242,I10344,2953,2.7619111223E8,-70178.27,2025-09-06,price_negative
C221,I10370,101,1.023543913E7,19090.1,,missing_sale_date
C212,I10420,2828,2.9457787164E8,-54521.79,2025-09-08,price_negative
C221,I10484,267,1.265038687E7,-119609.41,2025-10-26,price_negative
,I10494,1981,1.8578897186E8,9074.94,2025-09-24,missing_seller_id
,I10498,625,6.654044785E7,99954.24,2025-09-17,missing_seller_id
C221,I10520,694,4.536267945E7,-59770.74,2025-09-26,price_negative
C216,I10530,358,4.119158639E7,65062.74,,missing_sale_date
C212,I10538,2828,4.0363267867E8,-37233.54,2025-10-14,price_negative
,I10539,429,2.398963824E7,119589.87,2025-10-06,missing_seller_id
C220,I10595,171,8347568.69,-75640.13,2025-09-05,price_negative
C203,I10608,1434,3.468510581E7,-58487.79,2025-10-17,price_negative
C226,I10616,1208,7.070821006E7,51379.84,,missing_sale_date
