item_id,units_sold,revenue,sale_date,dq_failure_reason
I15347,1427,9.25121677E7,2030-01-01,future_sale_date
I16794,1632,2.3670944039E8,2030-01-01,future_sale_date
I24267,503,4.158759019E7,2030-01-01,future_sale_date
I15188,1893,2.7028325994E8,,missing_sale_date
I23427,187,2.539461263E7,,missing_sale_date
I30394,1568,2.1917253336E8,,missing_sale_date
I42622,-1187,8.971457122E7,2025-09-13,units_sold_negative
I49133,676,6.290191855E7,2030-01-01,future_sale_date
I49686,468,4.344676905E7,2030-01-01,future_sale_date
I50384,-1194,7.530181422E7,2025-09-09,units_sold_negative
I53845,-973,1.927742161E7,2025-09-08,units_sold_negative
I53971,347,2.7923928E7,,missing_sale_date
I59257,-912,6.021003818E7,2025-10-18,units_sold_negative
I62331,100,6289839.71,2030-01-01,future_sale_date
I64249,1426,1.690030378E8,,missing_sale_date
I66414,1850,2.07738173E7,2030-01-01,future_sale_date
I70489,1986,1.5944718062E8,2030-01-01,future_sale_date
I73298,1354,1.1881724896E8,,missing_sale_date
I75677,1719,1.019552337E7,,missing_sale_date
I75695,-1216,6.369600199E7,2025-09-29,units_sold_negative
I77523,-816,8.588075118E7,2025-10-06,units_sold_negative
I77902,78,9802958.88,,missing_sale_date
I78687,-547,2.71297323E7,2025-10-28,units_sold_negative
I78876,412,8918024.99,2030-01-01,future_sale_date
I78958,166,8021076.51,2030-01-01,future_sale_date
I80526,-874,1.0178364976E8,2025-09-23,units_sold_negative
I85198,1632,6.667494237E7,,missing_sale_date
I89645,-1997,2.8872450606E8,2025-10-01,units_sold_negative
I90484,1081,0.0,,missing_sale_date
I90705,1689,1.4121249155E8,,missing_sale_date
I93791,1760,2.403044248E7,2030-01-01,future_sale_date
I94891,1628,1.4639880306E8,,missing_sale_date
I97102,699,6.664437946E7,,missing_sale_date
I99501,1870,1.931616701E8,2030-01-01,future_sale_date
I107542,-1638,2.2777128437E8,2025-09-05,units_sold_negative
I111542,-478,2.603805651E7,2025-10-08,units_sold_negative
I113408,1968,1.2075409297E8,,missing_sale_date
I17010,1189,6.120575144E7,2030-01-01,future_sale_date
I28618,-1938,2.8703652693E8,2025-09-12,units_sold_negative
I30116,255,8012510.9,2030-01-01,future_sale_date
I34524,1633,1.8927596091E8,2030-01-01,future_sale_date
,806,5.228574571E7,2025-10-30,missing_item_id
I34416,131,2577343.05,,missing_sale_date
I37774,65,686454.61,2030-01-01,future_sale_date
I44605,518,3.025098028E7,2030-01-01,future_sale_date
I48269,610,3.032800423E7,,missing_sale_date
I56418,492,1.698300144E7,2030-01-01,future_sale_date
I61808,680,5667864.96,,missing_sale_date
I63043,1119,1.5540989215E8,,missing_sale_date
I71939,-576,3.067573916E7,2025-10-09,units_sold_negative
I75342,-1589,8.09046363E7,2025-10-15,units_sold_negative
I79478,-969,1.3451439216E8,2025-09-25,units_sold_negative
I85912,-496,4.58962574E7,2025-10-12,units_sold_negative
I87922,1472,1.5152875224E8,2030-01-01,future_sale_date
I89357,1645,1.6917900863E8,,missing_sale_date
I91082,146,6847078.84,,missing_sale_date
I92408,815,1.1424967901E8,,missing_sale_date
I95847,1505,1.171744029E8,,missing_sale_date
I99531,1905,1.045324903E7,2030-01-01,future_sale_date
I101260,1049,1.3796233325E8,,missing_sale_date
I103774,-1322,9.968803793E7,2025-10-01,units_sold_negative
I110551,333,3167967.59,2030-01-01,future_sale_date
I111745,-900,5.312475306E7,2025-09-04,units_sold_negative
I112107,-58,6805619.86,2025-09-23,units_sold_negative
I114038,986,8307562.81,,missing_sale_date
I114062,992,2.764686111E7,2030-01-01,future_sale_date
I120227,-1840,2.703292929E8,2025-09-19,units_sold_negative
I120700,694,7.433989472E7,2030-01-01,future_sale_date
I127039,1978,1.191265186E7,,missing_sale_date
I127150,1265,1145469.39,,missing_sale_date
I11545,-1048,8.815383212E7,2025-09-04,units_sold_negative
I17547,1857,9.187551602E7,2030-01-01,future_sale_date
I17846,-1404,5.772797567E7,2025-10-22,units_sold_negative
I20456,-1040,1.66718312E7,2025-10-30,units_sold_negative
I27605,1291,1.4132160317E8,2030-01-01,future_sale_date
I28831,1574,6.674734838E7,,missing_sale_date
I32029,1571,1.0176242632E8,,missing_sale_date
I36756,269,1.058770181E7,,missing_sale_date
I51947,-1182,2.61517004E7,2025-10-25,units_sold_negative
I59234,512,5.842496329E7,,missing_sale_date
I60039,-1909,2.7424784578E8,2025-10-16,units_sold_negative
I61022,-1282,6.982640365E7,2025-09-02,units_sold_negative
I70494,-1657,1.9854188092E8,2025-10-29,units_sold_negative
I76212,1099,2.757982721E7,,missing_sale_date
I85314,-1584,9.335262419E7,2025-09-11,units_sold_negative
I91635,1536,1.4344341206E8,,missing_sale_date
I94729,1744,7.518879438E7,2030-01-01,future_sale_date
I98782,1627,1.1846092312E8,2030-01-01,future_sale_date
I105877,-334,3.799517904E7,2025-09-28,units_sold_negative
I108162,1304,1.6415451149E8,,missing_sale_date
I118738,521,9651228.01,2030-01-01,future_sale_date
I123331,-575,8.279780841E7,2025-10-26,units_sold_negative
I124654,1444,4.107210179E7,,missing_sale_date
I124784,1139,8.884032963E7,2030-01-01,future_sale_date
I125160,-1711,6.764357584E7,2025-09-18,units_sold_negative
I14292,818,3.711516829E7,2030-01-01,future_sale_date
I20768,849,6537686.93,2030-01-01,future_sale_date
I22676,1930,2.2941346448E8,2030-01-01,future_sale_date
I24441,-575,7.685735213E7,2025-10-03,units_sold_negative
I34490,-1796,2.4325129071E8,2030-01-01,"units_sold_negative,future_sale_date"
,718,1.0401144382E8,,"missing_item_id,missing_sale_date"
I15013,-1414,1.2341664955E8,,"units_sold_negative,missing_sale_date"
I26108,455,6.268112225E7,,missing_sale_date
I30941,1504,3.933593785E7,,missing_sale_date
I34921,1135,1.6473709536E8,,missing_sale_date
I37787,-1971,6.269351632E7,2025-10-05,units_sold_negative
I39611,663,3.998788061E7,,missing_sale_date
I39633,773,5.224679267E7,,missing_sale_date
I43075,174,5021465.55,2030-01-01,future_sale_date
I43530,950,4.652199581E7,2030-01-01,future_sale_date
I44534,-1610,1.500310034E7,2025-10-04,units_sold_negative
I45786,1396,1.2866455743E8,,missing_sale_date
I49509,-1741,5.556784467E7,2025-09-22,units_sold_negative
I49787,-1776,2.1781037828E8,2025-10-15,units_sold_negative
I51489,271,1.568371072E7,,missing_sale_date
I62988,1280,9.935353943E7,,missing_sale_date
I65341,251,4381176.47,2030-01-01,future_sale_date
I83052,-84,768202.48,2025-10-14,units_sold_negative
I83196,295,2.775554664E7,2030-01-01,future_sale_date
I90564,-105,7296500.65,2025-10-10,units_sold_negative
I91248,-707,2.928667891E7,2025-10-29,units_sold_negative
I102356,230,1.039318518E7,,missing_sale_date
I102670,1161,5.965358885E7,,missing_sale_date
I105894,-561,8444354.08,2025-09-01,units_sold_negative
I106413,1541,2.701183862E7,2030-01-01,future_sale_date
I109212,1214,7.267641367E7,2030-01-01,future_sale_date
I109744,-844,3.17159145E7,2025-10-01,units_sold_negative
I109977,1961,2.5164730837E8,2030-01-01,future_sale_date
I110446,319,1.074719249E7,,missing_sale_date
I112466,383,5.388579382E7,2030-01-01,future_sale_date
I115409,428,2.958030016E7,,missing_sale_date
I120958,-1632,2.1496213948E8,2025-09-13,units_sold_negative
I123691,710,2.583725503E7,,missing_sale_date
I12936,1029,1.3030172821E8,2030-01-01,future_sale_date
I16626,-1040,5396392.95,2025-09-23,units_sold_negative
I18875,-661,8.13712396E7,2025-09-03,units_sold_negative
I20566,1299,3.438769336E7,2030-01-01,future_sale_date
I23509,-262,1.767060145E7,2025-10-29,units_sold_negative
I33397,1624,1.7216753554E8,2030-01-01,future_sale_date
I20860,355,2214148.75,,missing_sale_date
I25547,1382,1.403930084E7,,missing_sale_date
I35403,1744,1.4266709384E8,2030-01-01,future_sale_date
I40443,1924,2.591464811E8,,missing_sale_date
I41775,369,1.683339283E7,,missing_sale_date
I43458,-1581,5.79353291E7,2025-10-25,units_sold_negative
I48423,-1552,1.3234111126E8,2025-09-24,units_sold_negative
I51801,780,4.552946808E7,,missing_sale_date
I58396,907,7.747342658E7,,missing_sale_date
I70660,1040,9.135192098E7,2030-01-01,future_sale_date
I71855,456,5.763780446E7,2030-01-01,future_sale_date
I73888,1261,1.7395242694E8,2030-01-01,future_sale_date
I78984,-400,4.512659519E7,2030-01-01,"units_sold_negative,future_sale_date"
I80628,976,1.1315339566E8,,missing_sale_date
I84224,1999,3750594.13,2030-01-01,future_sale_date
I84865,-437,4.368418223E7,2025-10-14,units_sold_negative
I86750,554,4.911455405E7,,missing_sale_date
I90100,-881,1.537049712E7,2025-10-05,units_sold_negative
I91332,1431,1.462276384E7,2030-01-01,future_sale_date
I102320,878,1.783573297E7,2030-01-01,future_sale_date
I102805,907,1.0377105342E8,,missing_sale_date
I103930,282,1473545.17,2030-01-01,future_sale_date
I105587,-1285,9464032.1,2025-09-25,units_sold_negative
I109364,1440,2.0180817133E8,,missing_sale_date
I110391,-848,7.103539629E7,2025-10-30,units_sold_negative
I114558,182,2.322399852E7,2030-01-01,future_sale_date
I120277,1916,1.780811733E7,2030-01-01,future_sale_date
I126266,555,6.263935101E7,2030-01-01,future_sale_date
I11934,1931,1.155110353E8,2030-01-01,future_sale_date
I14546,-85,2841467.6,2025-09-23,units_sold_negative
I29897,1482,0.0,2030-01-01,future_sale_date
I30230,-597,3.208774965E7,2025-09-25,units_sold_negative
I30287,1694,6.936433837E7,2030-01-01,future_sale_date
I31413,1359,0.0,2030-01-01,future_sale_date
I38172,-1584,1.4654886875E8,2025-09-17,units_sold_negative
I38837,83,4356140.9,2030-01-01,future_sale_date
I43784,317,3.097608306E7,,missing_sale_date
I46312,-342,3.644109427E7,2025-10-25,units_sold_negative
I48986,1409,1.2499570325E8,,missing_sale_date
