item_id,units_sold,revenue,sale_date,dq_failure_reason
I15499,940,1.084968785E7,2030-01-01,future_sale_date
I25392,845,7.207956771E7,2030-01-01,future_sale_date
I34183,676,1.194515675E7,2030-01-01,future_sale_date
I34609,1360,3.648428631E7,2030-01-01,future_sale_date
I20629,1437,9.038949982E7,,missing_sale_date
I40230,-261,2.014937428E7,2025-09-06,units_sold_negative
I41882,851,9.047694813E7,2030-01-01,future_sale_date
I45825,1214,8.726634881E7,2030-01-01,future_sale_date
I46618,1750,2.4713601621E8,,missing_sale_date
I47178,757,1.0982443077E8,2030-01-01,future_sale_date
I48730,1516,1.5803977628E8,,missing_sale_date
I49486,704,1.050617845E7,2030-01-01,future_sale_date
I52879,1090,5.847318337E7,,missing_sale_date
I56399,823,1.516138092E7,,missing_sale_date
I59773,364,1.301821065E7,2030-01-01,future_sale_date
I62953,705,5.454907683E7,,missing_sale_date
I63891,1859,2.742781062E8,,missing_sale_date
I65077,1023,1.3734247946E8,,missing_sale_date
I68191,156,9566247.5,,missing_sale_date
I75277,1650,2.209628778E7,2030-01-01,future_sale_date
I77257,-420,5777434.48,2025-09-29,units_sold_negative
I86868,1953,1.8738539962E8,,missing_sale_date
I89381,1261,1.414637157E7,,missing_sale_date
I90338,-535,2.486995526E7,,"units_sold_negative,missing_sale_date"
I91210,-1839,2.2186311021E8,2025-10-10,units_sold_negative
I102282,509,0.0,2030-01-01,future_sale_date
I110821,-136,7111759.65,2025-10-08,units_sold_negative
I122852,1488,3.110407735E7,,missing_sale_date
I122864,-877,1.030585819E8,2025-10-29,units_sold_negative
I123322,823,7.088197459E7,,missing_sale_date
I15651,-171,6851546.15,2025-09-15,units_sold_negative
I33306,-1362,8.099310093E7,2025-10-23,units_sold_negative
I12810,134,3794671.53,,missing_sale_date
I22121,932,7.242698243E7,,missing_sale_date
I26725,664,8.964572664E7,,missing_sale_date
I29505,947,2.055925099E7,,missing_sale_date
I32461,1075,7.584735552E7,,missing_sale_date
I33713,1039,1.4317757301E8,,missing_sale_date
I40604,639,1.44121224E7,,missing_sale_date
I44734,-327,4.301281518E7,2025-09-01,units_sold_negative
I44936,346,2.152214321E7,2030-01-01,future_sale_date
I49543,-807,1458888.18,2025-09-11,units_sold_negative
I50332,-155,404837.11,2025-09-04,units_sold_negative
I56803,-144,1.031495759E7,2025-10-07,units_sold_negative
I58843,-1654,6.042865595E7,2025-10-28,units_sold_negative
I60232,619,8.098880789E7,,missing_sale_date
I63832,-256,2.36460153E7,2025-09-01,units_sold_negative
I87161,-1100,1.2269525761E8,2025-10-16,units_sold_negative
I87164,500,5.638528794E7,,missing_sale_date
I87463,416,4.552039338E7,2030-01-01,future_sale_date
I89694,-1490,1.0559007343E8,2025-10-25,units_sold_negative
I90487,1552,1.9865256496E8,,missing_sale_date
I93957,368,4.555865932E7,,missing_sale_date
I94236,1728,3.549980431E7,2030-01-01,future_sale_date
I95824,1972,2.5474047568E8,,missing_sale_date
I98082,1211,1.0887271261E8,2030-01-01,future_sale_date
I100169,1938,1.008964835E7,2030-01-01,future_sale_date
I103182,1870,2.6738522708E8,2030-01-01,future_sale_date
I105272,-1284,4.90340408E7,2025-10-14,units_sold_negative
I105705,254,1.283313023E7,,missing_sale_date
I109238,-1552,1.137192306E8,2025-09-27,units_sold_negative
I113586,-1897,2.7226726257E8,2025-10-20,units_sold_negative
I117360,918,3.583491105E7,,missing_sale_date
I125417,902,1.0830586016E8,,missing_sale_date
I125454,-62,2506160.81,2025-10-03,units_sold_negative
I126613,1121,2.082616745E7,,missing_sale_date
I10516,-1312,8070642.16,2025-10-20,units_sold_negative
I13209,1092,1.5996775407E8,2030-01-01,future_sale_date
I22469,-1307,1.1918317065E8,2025-09-06,units_sold_negative
I28262,1376,3444179.31,2030-01-01,future_sale_date
I29296,1148,1.0164851823E8,2030-01-01,future_sale_date
I32451,-330,3.192733461E7,2025-10-30,units_sold_negative
I14247,1528,7.432452741E7,,missing_sale_date
I17144,1121,7.807733111E7,,missing_sale_date
I19476,1904,1.6239963283E8,,missing_sale_date
I32130,468,3.712539841E7,,missing_sale_date
I35849,994,0.0,,missing_sale_date
I40758,-1075,6.092161044E7,2025-09-19,units_sold_negative
I42676,670,3.806438905E7,2030-01-01,future_sale_date
I50998,668,6.013094073E7,,missing_sale_date
I55096,519,3.463485738E7,,missing_sale_date
I57392,-331,4.342620025E7,2025-09-06,units_sold_negative
I57894,1473,1871674.54,,missing_sale_date
I65097,1574,1.8037074963E8,2030-01-01,future_sale_date
I72190,643,6.356372409E7,2030-01-01,future_sale_date
I72832,-1446,1.4146804675E8,2025-10-27,units_sold_negative
I76437,428,4.258962036E7,2030-01-01,future_sale_date
I80759,1547,2.1384294305E8,,missing_sale_date
I81179,1185,1.3988194721E8,2030-01-01,future_sale_date
I83831,-1413,7.578022802E7,2025-10-20,units_sold_negative
I84953,292,3.504067315E7,,missing_sale_date
I86470,-74,2665574.5,2025-09-21,units_sold_negative
I87367,-1789,2.1522084305E8,2025-10-22,units_sold_negative
I88466,1649,2.2959948689E8,,missing_sale_date
I89579,-1124,2.773714029E7,2025-09-25,units_sold_negative
I92319,482,2.368977651E7,,missing_sale_date
I93689,1542,1.3378580235E8,,missing_sale_date
I93895,770,7.979467812E7,,missing_sale_date
I95430,1466,1.5019792854E8,,missing_sale_date
I95547,312,3.29941173E7,,missing_sale_date
I100221,303,3.676774557E7,2030-01-01,future_sale_date
I105184,-1566,5.252188639E7,2025-10-07,units_sold_negative
I105680,248,2.343094923E7,2030-01-01,future_sale_date
I109536,457,3.637229286E7,2030-01-01,future_sale_date
I110212,1561,2.065846632E8,2030-01-01,future_sale_date
I112494,707,0.0,2030-01-01,future_sale_date
I112997,-962,4.837614941E7,2025-10-15,units_sold_negative
