item_id,units_sold,revenue,sale_date,dq_failure_reason
I13444,-1361,2.778484236E7,2025-09-18,units_sold_negative
I16072,1267,1.8335596394E8,2030-01-01,future_sale_date
I21528,-905,3.30083313E7,2025-09-30,units_sold_negative
I23516,1882,1.4932415247E8,2030-01-01,future_sale_date
I33843,1629,1.8694505092E8,2030-01-01,future_sale_date
I10015,1471,1.2417212504E8,,missing_sale_date
I10714,1947,0.0,,missing_sale_date
I15538,276,3.084197018E7,,missing_sale_date
I35852,-594,2.289371613E7,2025-09-21,units_sold_negative
I40106,302,1.337749984E7,2030-01-01,future_sale_date
I41151,185,98640.75,,missing_sale_date
I45510,272,3.951423251E7,2030-01-01,future_sale_date
I51341,-1724,5.134069284E7,2025-09-02,units_sold_negative
I53040,-248,3.178205373E7,2025-10-07,units_sold_negative
I63567,-273,1.959775156E7,2025-09-01,units_sold_negative
I74064,947,1.330387264E7,2030-01-01,future_sale_date
I74182,581,7.274463939E7,,missing_sale_date
I76704,1508,4.822096995E7,,missing_sale_date
I77509,52,893214.11,2030-01-01,future_sale_date
I80728,950,1.4110619449E8,2030-01-01,future_sale_date
I96847,1594,1.2753264691E8,2030-01-01,future_sale_date
I101188,-867,1.888218727E7,2025-10-30,units_sold_negative
I101705,437,5.785795556E7,,missing_sale_date
I104998,399,4347491.65,,missing_sale_date
I105059,52,6902326.66,,missing_sale_date
I106649,-726,6.401303266E7,2025-10-06,units_sold_negative
I123301,692,9.884504987E7,2030-01-01,future_sale_date
I126452,2000,2.2787725823E8,2030-01-01,future_sale_date
I127038,1027,1.3616554354E8,2030-01-01,future_sale_date
I10869,196,6543930.93,2030-01-01,future_sale_date
I13319,-1475,9.890225791E7,2025-10-20,units_sold_negative
I18972,1599,1.6146951946E8,2030-01-01,future_sale_date
I25630,991,1.354488468E8,2030-01-01,future_sale_date
I27459,-1997,2.0727467121E8,2025-09-02,units_sold_negative
I34435,363,2037418.0,2030-01-01,future_sale_date
I10666,882,0.0,,missing_sale_date
,282,6454958.13,2025-09-26,missing_item_id
I12924,1582,2.1031440855E8,,missing_sale_date
I37383,1652,2.2678233028E8,2030-01-01,future_sale_date
I39003,1192,7.92765992E7,,missing_sale_date
I46034,1924,1.6050038493E8,2030-01-01,future_sale_date
I46152,-1005,9.773530692E7,2025-10-10,units_sold_negative
I47397,725,6.226196916E7,2030-01-01,future_sale_date
I54745,-355,2.354914752E7,2025-09-07,units_sold_negative
I57513,-909,1.908620423E7,2025-10-05,units_sold_negative
I63456,-1181,1.1637762412E8,2025-09-17,units_sold_negative
I64206,1352,1.860525899E8,2030-01-01,future_sale_date
I64611,-205,3158313.41,2025-10-19,units_sold_negative
I66616,-1229,2905369.71,2025-10-03,units_sold_negative
I68053,911,5.917188826E7,,missing_sale_date
I68749,939,1.3072116986E8,,missing_sale_date
I70834,900,7.558173809E7,,missing_sale_date
I72411,150,6007516.32,2030-01-01,future_sale_date
I78953,495,1.331156918E7,,missing_sale_date
I79046,1478,1.1426211079E8,,missing_sale_date
I80075,1347,1.3187144161E8,2030-01-01,future_sale_date
I81291,-1957,2.9186947207E8,2025-10-02,units_sold_negative
I83598,-828,6.78892183E7,2025-10-02,units_sold_negative
I85438,1497,1.7641703462E8,2030-01-01,future_sale_date
I86151,-1832,1.773499126E8,2025-10-24,units_sold_negative
I86257,-661,3.161760959E7,2025-09-14,units_sold_negative
I91312,932,9.529742439E7,2030-01-01,future_sale_date
I98921,-185,2.389226694E7,2025-09-27,units_sold_negative
I101265,1789,2.4359145755E8,2030-01-01,future_sale_date
I105579,360,3.025539882E7,2030-01-01,future_sale_date
I108056,461,4.582748024E7,2030-01-01,future_sale_date
I109049,112,3695988.73,2030-01-01,future_sale_date
I109469,-94,5527449.03,2025-10-04,units_sold_negative
I113377,815,3.783287899E7,2030-01-01,future_sale_date
I125085,683,1.902779197E7,2030-01-01,future_sale_date
I128155,404,4.648512849E7,2030-01-01,future_sale_date
I15085,-1807,2.3132817528E8,2025-09-07,units_sold_negative
I17324,-303,3.742773496E7,2025-10-27,units_sold_negative
I17516,344,8702385.67,2030-01-01,future_sale_date
